pub_ID,pub_year,first_author,source,suborder,family,species,species_OTL,roost_type,pd,country,hemisphere,lat,lon,clim_ID,study_year,mean_year_study,sex,age,date_pre,date_max,date_post,month_num_pre,month_num_max,month_num_post,days_dif,month_pre,month_max,month_post,value_pre_mean,value_pre_SD,pre_n,value_max_mean,value_max_SD,max_n,value_post_mean,value_post_SD,post_n,pre_post,mass_g,abs_diff,abs_vi,rel_diff,lnRR,lnRR_vi,notes,title,ref
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,yes,USA,northern,42.72197013,-90.78848481,Dfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,9.337757576,0.829237345,165,7.602307692,0.749056663,104,post,7.602307692,1.735449883,0.009562539,22.82793533,0.20561429,0.000141144,pd,,
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,41.36180966,-88.06402528,Dfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,10.03147727,0.759483399,88,7.904594595,0.684728635,37,post,7.904594595,2.126882678,0.019226427,26.90691664,0.238283692,0.00026794,,,
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,41.9893862,-83.46579734,Dfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,9.4175,0.931985634,47,7.925263158,0.61359024,19,post,7.925263158,1.492236842,0.038296212,18.82886173,0.172514135,0.00052386,,,
4,2023,Langwig,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,yes,USA,northern,41.9893862,-83.46579734,Dfa,2011-2022,2016,Both,,,,,,11,3,121.668,,Nov,Mar,,,,9.407261146,0.925162225,157,7.823918919,0.796736813,222,post,7.823918919,1.583342228,0.008311165,20.23720138,0.184296284,0.000108316,pd,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2009,2009,Female,Adult,7/6/2009,26/7/2009,,,,,35,,,,7.67,,,9.28,,,,,,pre,7.67,1.61,,20.99087353,0.190544931,,,Active season body mass patterns of little brown and northern myotis bats,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.9230
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2009,2009,Male,Adult,,,,,,,35,,,,7.2,,,9.07,,,,,,pre,7.2,1.87,,25.97222222,0.230891238,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2010,2010,Female,Adult,,,,,,,35,,,,7.15,,,9.23,,,,,,pre,7.15,2.08,,29.09090909,0.255346692,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2010,2010,Male,Adult,,,,,,,35,,,,7.45,,,8.8,,,,,,pre,7.45,1.35,,18.12080537,0.166537689,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2011,2011,Female,Adult,,,,,,,35,,,,7.56,,,9.04,,,,,,pre,7.56,1.48,,19.57671958,0.178787984,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2011,2011,Male,Adult,,,,,,,35,,,,7.41,,,9.51,,,,,,pre,7.41,2.1,,28.34008097,0.249513437,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2011,2011,Female,Juvenile,,,,,,,35,,,,6.65,,,7.89,,,,,,pre,6.65,1.24,,18.64661654,0.17097928,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2011,2011,Male,Juvenile,,,,,,,35,,,,6.62,,,8.04,,,,,,pre,6.62,1.42,,21.45015106,0.194333713,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2009,2009,Female,Adult,,,,,,,35,,,,6.73,,,7.32,,,,,,pre,6.73,0.59,,8.766716196,0.084035184,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2009,2009,Male,Adult,,,,,,,35,,,,6.75,,,7.07,,,,,,pre,6.75,0.32,,4.740740741,0.046317975,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2009,2009,Female,Juvenile,,,,,,,35,,,,6.11,,,6.57,,,,,,pre,6.11,0.46,,7.528641571,0.072587059,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2010,2010,Female,Adult,,,,,,,35,,,,6.42,,,7.84,,,,,,pre,6.42,1.42,,22.11838006,0.199820717,,,,
5,2022,Balzer,Table 4,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,Canada,northern,44.87083551,-64.6950852,Dfb,2010,2010,Male,Adult,,,,,,,35,,,,6.42,,,6.54,,,,,,pre,6.42,0.12,,1.869158879,0.018519048,,,,
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Lasionycteris noctivagans,Lasionycteris noctivagans,broad,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Male,,,,,,10,5,212.919,,Oct,May,,,,12.24609375,0.680547177,408,8.234375,0.225084459,408,post,8.234375,4.01171875,0.001259332,48.71916509,0.396889543,9.40E-06,,Rates of seasonal fuel loading do not differ by sex or overwintering strategy in three species of bats,https://academic.oup.com/jmammal/advance-article/doi/10.1093/jmammal/gyad088/7292874?login=true
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Lasionycteris noctivagans,Lasionycteris noctivagans,broad,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Female,,,,,,10,5,212.919,,Oct,May,,,,12.90625,0.77328668,120,8.79296875,0.820930864,120,post,8.79296875,4.11328125,0.010599165,46.77920924,0.383759294,0.000102553,,,
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Myotis californicus,Myotis californicus,broad,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Male,,,,,,11,3,121.668,,Nov,Mar,,,,4.538461538,0.405982906,160,3.615384615,0.370726496,160,post,3.615384615,0.923076923,0.001889127,25.53191489,0.227389842,0.00011573,,,
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Myotis californicus,Myotis californicus,broad,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Female,,,,,,11,3,121.668,,Nov,Mar,,,,4.861538462,0.642094017,113,3.707692308,0.370726496,113,post,3.707692308,1.153846154,0.004864804,31.12033195,0.27094528,0.000242848,,,
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Myotis yumanensis,Myotis yumanensis,cave,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Male,,,,,,11,5,182.502,,Nov,May,,,,5.807228916,0.709437751,109,4.84939759,0.183935743,109,post,4.84939759,0.957831325,0.004927837,19.7515528,0.180249017,0.000150118,,,
6,2023,Weller,Fig 2,Yangochiroptera,Vespertilionidae,Myotis yumanensis,Myotis yumanensis,cave,,USA,northern,40.66512137,-123.1881988,Csb,1996-2018,2007,Female,,,,,,11,4,152.085,,Nov,Apr,,,,6.114457831,0.335542169,99,4.903614458,0.129718876,99,post,4.903614458,1.210843373,0.001307228,24.69287469,0.220683525,3.75E-05,,,
7,2022,Antonova,Fig 2,Yangochiroptera,Vespertilionidae,Eptesicus nilssonii,Eptesicus nilssonii,cave,,Russia,northern,62.166667,33.95,Dfc,,,Male,,,,,,11,3,121.668,,Nov,Mar,,,,11.46153846,0.657051282,3,8.769230769,0.188746439,3,post,8.769230769,2.692307692,0.155780535,30.70175439,0.267747858,0.001249871,,Seasonal Changes in Body Mass and Activity of Digestive Enzymes in Eptesicus nilssonii (Mammalia: Chiroptera: Vespertilionidae) during Hibernation,https://link.springer.com/article/10.1134/S002209302204010X
7,2022,Antonova,Fig 2,Yangochiroptera,Vespertilionidae,Eptesicus nilssonii,Eptesicus nilssonii,cave,,Russia,northern,62.166667,33.95,Dfc,,,Female,,,,,,11,3,121.668,,Nov,Mar,,,,11.23076923,0.26460114,3,10.61538462,0.345797721,10,post,10.61538462,0.615384615,0.035295527,5.797101449,0.056352937,0.000291144,,,
8,2021,Pretorius,Table 1,Yangochiroptera,Miniopteridae,Miniopterus natalensis,Miniopterus natalensis,cave,,South Africa,southern,-24.616667,27.65,Cwa,2011-2018,2014,Male,,,,,10,4,,91.251,Oct,Apr,,10.82,0.75,134,11.07,0.7,61,,,,pre,10.82,0.25,0.012230548,2.310536044,0.022842473,0.000101406,,No Evidence of Pre-Hibernation or Pre-Migratory Body Mass Gain in Miniopterus natalensis in North-Eastern South Africa,https://bioone.org/journals/journal-of-vertebrate-biology/volume-70/issue-1/jvb.20088/No-Evidence-of-Pre-Hibernation-or-Pre-Migratory-Body-Mass/10.25225/jvb.20088.full
8,2021,Pretorius,Table 1,Yangochiroptera,Miniopteridae,Miniopterus natalensis,Miniopterus natalensis,cave,,South Africa,southern,-24.616667,27.65,Cwa,2011-2018,2014,Male,,,,,,4,7,91.251,,Apr,Jul,,,,11.07,0.7,61,10.47,0.73,56,post,10.47,0.6,0.017548858,5.730659026,0.055724722,0.000152359,,,
8,2021,Pretorius,Table 1,Yangochiroptera,Miniopteridae,Miniopterus natalensis,Miniopterus natalensis,cave,,South Africa,southern,-24.616667,27.65,Cwa,2011-2018,2014,Female,,,,,10,4,,91.251,Oct,Apr,,11.01,1.22,202,11.2,1.06,132,,,,pre,11.01,0.19,0.015880438,1.725703906,0.017109828,0.000128643,,,
9,2022,Eastick,Fig 6,Yangochiroptera,Vespertilionidae,Chalinolobus gouldii,Chalinolobus gouldii,tree,,Australia,southern,-37.665439,144.770219,Cfb,2017-2018,2017,Male,Juvenile,,,,3,5,,80,Mar,May,,12.83370004,0.286486982,17,16.17604816,0.318318869,13,,,,pre,12.83370004,3.342348124,0.012622306,26.04352692,0.231457113,5.91E-05,,"Size at Birth, Postnatal Growth, and Reproductive Timing in an Australian Microbat ",https://academic.oup.com/iob/article/4/1/obac030/6651685?login=false
9,2022,Eastick,Fig 6,Yangochiroptera,Vespertilionidae,Chalinolobus gouldii,Chalinolobus gouldii,tree,,Australia,southern,-37.665439,144.770219,Cfb,2017-2018,2017,Male,Juvenile,,,,,5,8,70,,May,Aug,,,,16.17604816,0.318318869,13,12.48354928,0.668469625,7,post,12.48354928,3.69249888,0.071630326,29.57891859,0.25911992,0.000439415,,,
9,2022,Eastick,Fig 6,Yangochiroptera,Vespertilionidae,Chalinolobus gouldii,Chalinolobus gouldii,tree,,Australia,southern,-37.665439,144.770219,Cfb,2017-2018,2017,Female,Juvenile,,,,3,5,,80,Mar,May,,13.24751457,0.350150756,27,16.8126859,0.477478303,6,,,,pre,13.24751457,3.565171332,0.042538535,26.9120016,0.23832376,0.0001603,,,
9,2022,Eastick,Fig 6,Yangochiroptera,Vespertilionidae,Chalinolobus gouldii,Chalinolobus gouldii,tree,,Australia,southern,-37.665439,144.770219,Cfb,2017-2018,2017,Female,Juvenile,,,,,5,8,70,,May,Aug,,,,16.8126859,0.477478303,6,13.27934645,0.541142077,5,post,13.27934645,3.533339445,0.096564538,26.60778117,0.235923784,0.000466549,,,
10,2019,Sommers,Fig 1,Yangochiroptera,Molossidae,Tadarida brasiliensis,Tadarida brasiliensis,cave,,Mexico,northern,29.5,-99.7,BSh,2016,2016,Female,,18/9/2016,5/11/2016,,,,,48,Sep,Nov,,13.67307692,0.576923077,6,16.08974359,0.769230769,9,,,,pre,13.67307692,2.416666667,0.121219592,17.67463666,0.162753314,0.000550688,,Migration and reproduction are associated with similar degrees of phenotypic flexibility in an insectivorous bat,https://link.springer.com/article/10.1007/s00442-019-04449-2
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus lituratus,Artibeus lituratus,broad,,Brazil,southern,-22.9558288,-44.09883122,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,75.2,0.985714286,99,76.01428571,0.814285714,62,post,76.01428571,-0.81428571,0.020509007,-1.071227207,-0.010770062,3.59E-06,low,Reproductive constraints in frugivorous phyllostomid bats: seasonal and elevational variation in reproductive rates in the Brazilian Atlantic Forest ,https://academic.oup.com/jmammal/article/100/2/487/5377941?login=true
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus lituratus,Artibeus lituratus,broad,,Brazil,southern,-22.33016666,-43.71673182,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,79.57142857,0.942857143,107,77.44285714,0.985714286,75,post,77.44285714,2.12857143,0.021263323,2.748570376,0.027114754,3.47E-06,mid,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus lituratus,Artibeus lituratus,broad,,Brazil,southern,-22.04219399,-44.75180507,Cwb,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,76.7,1.414285714,72,75.37142857,1.5,45,post,75.37142857,1.32857143,0.077780612,1.762699016,0.017473437,1.35E-05,high,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus fimbriatus,Artibeus fimbriatus,cave,,Brazil,southern,-22.9558288,-44.09883122,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,62.45283019,1.132075472,179,63.35849057,0.981132075,142,post,63.35849057,-0.905660377,0.013938763,-1.429422275,-0.014397369,3.52E-06,low,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus fimbriatus,Artibeus fimbriatus,cave,,Brazil,southern,-22.33016666,-43.71673182,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,65.88679245,0.981132075,124,63.18867925,1.056603774,62,post,63.18867925,2.698113208,0.025769703,4.269931323,0.041812844,6.30E-06,mid,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Artibeus fimbriatus,Artibeus fimbriatus,cave,,Brazil,southern,-22.04219399,-44.75180507,Cwb,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,63.69811321,1.169811321,58,62.45283019,0.867924528,16,post,62.45283019,1.245283018,0.070674924,1.993957702,0.019743387,1.79E-05,high,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Sturnira lilium,Sturnira lilium,broad,,Brazil,southern,-22.9558288,-44.09883122,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,22.48275862,1.551724138,27,22.89655172,3.775862069,16,post,22.89655172,-0.413793104,0.980250446,-1.807228919,-0.018237588,0.001876127,low,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Sturnira lilium,Sturnira lilium,broad,,Brazil,southern,-22.33016666,-43.71673182,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,22.43103448,0.568965517,71,21.81034483,0.310344828,211,post,21.81034483,0.620689655,0.005015925,2.845849802,0.028061077,1.00E-05,mid,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Sturnira lilium,Sturnira lilium,broad,,Brazil,southern,-22.04219399,-44.75180507,Cwb,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,23.56896552,1.137931034,259,22.43103448,0.620689655,73,post,22.43103448,1.137931034,0.010277038,5.073020753,0.049485358,1.95E-05,high,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Carollia perspicillata,Carollia perspicillata,cave,,Brazil,southern,-22.9558288,-44.09883122,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,16.0625,0.229166667,178,16.04166667,0.197916667,161,post,16.04166667,0.020833333,0.00053834,0.12987013,0.001297859,2.09E-06,low,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Carollia perspicillata,Carollia perspicillata,cave,,Brazil,southern,-22.33016666,-43.71673182,Cwa,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,15.72916667,0.291666667,86,16.02083333,0.166666667,174,post,16.02083333,-0.291666663,0.001148822,-1.820546143,-0.01837322,4.62E-06,mid,,
11,2019,De Carvalho,Fig 2,Yangochiroptera,Phyllostomidae,Carollia perspicillata,Carollia perspicillata,cave,,Brazil,southern,-22.04219399,-44.75180507,Cwb,1992-2014,2003,Male,,,,,,1,7,182.502,,Jan,Jul,,,,16.14583333,0.75,36,16.0108393,0.541666667,48,post,16.0108393,0.134994033,0.021737558,0.843141517,0.008396069,8.38E-05,high,,
12,2019,Rogers,Fig 1,Yangochiroptera,Molossidae,Tadarida brasiliensis,Tadarida brasiliensis,cave,,Mexico,northern,29.45180189,-99.66428882,BSh,2016,2016,Female,,,,,9,11,,60.834,Sep,Nov,,13.92957746,1.090981224,6,15.94366197,0.929577465,9,,,,pre,13.92957746,2.014084507,0.294386034,14.45904954,0.135046927,0.001400073,,Seasonal Dynamics of Lipid Metabolism and Energy Storage in the Brazilian Free-Tailed Bat,https://www.journals.uchicago.edu/doi/full/10.1086/704107?casa_token=nhQFA0iA3sMAAAAA%3AC8ht_p7Stc11PE83VahHWxTKZ7d1kexskimFhSIYiWX2mJYG9jTroW22wxQzwYbZBUbuLujPRwrY
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,40.96692818,-74.49065659,Cfa,2009,2009,Male,Adult,,25/11/2008,19/3/2009,,,,114,,Nov,Mar,,,,7.576111111,0.484284055,18,6.448571429,0.619372955,21,post,6.448571429,1.127539683,0.031297258,17.48510806,0.1611414,0.000666302,,Higher fat stores contribute to persistence of little brown bat populations with white-nose syndrome,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12954
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,40.96692818,-74.49065659,Cfa,2009,2009,Male,Juvenile,,25/11/2008,19/3/2009,,,,114,,Nov,Mar,,,,7.2885,0.858825851,20,6.295,0.474964395,18,post,6.295,0.9935,0.049411935,15.78236696,0.146542096,0.001010501,,,
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,40.96692818,-74.49065659,Cfa,2009,2009,Female,Adult,,25/11/2008,19/3/2009,,,,114,,Nov,Mar,,,,7.935,0.831214743,41,6.869375,0.613144689,48,post,6.869375,1.065625,0.024683874,15.5126922,0.144210227,0.000433616,,,
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,40.96692818,-74.49065659,Cfa,2009,2009,Female,Juvenile,,25/11/2008,19/3/2009,,,,114,,Nov,Mar,,,,7.655,0.668983474,10,6.436,0.601127512,15,post,6.436,1.219,0.068844175,18.94033561,0.1734518,0.001345312,,,
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,yes,USA,northern,40.96692818,-74.49065659,Cfa,2016,2016,Male,Adult,,13/11/2015,10/4/2016,,,,149,,Nov,Apr,,,,8.327708333,0.939274869,72,6.768043478,0.52113389,46,post,6.768043478,1.559664855,0.01815722,23.04454544,0.207376262,0.000305575,pd,,
13,2019,Cheng,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,yes,USA,northern,40.96692818,-74.49065659,Cfa,2016,2016,Female,Adult,,13/11/2015,10/4/2016,,,,149,,Nov,Apr,,,,8.752340426,1.21716744,47,7.085294118,0.646324036,34,post,7.085294118,1.667046308,0.04380752,23.52825839,0.211299757,0.000656226,pd,,
14,2015,Lacki,raw data,Yangochiroptera,Vespertilionidae,Myotis lucifugus,Myotis lucifugus,cave,,USA,northern,37.2072,-86.1319,Cfa,2011-2013,2012,Male,Adult,,,,5,10,,152.085,May,,,5.84,0.905648939,5,7.129047619,0.897601831,21,,,,pre,5.84,1.289047619,0.202406145,22.0727332,0.199446855,0.00556466,,Temporal Changes in Body Mass and Body Condition of Cave-Hibernating Bats During Staging and Swarming ,https://meridian.allenpress.com/jfwm/article/6/2/360/204032/Temporal-Changes-in-Body-Mass-and-Body-Condition
14,2015,Lacki,raw data,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,USA,northern,37.2072,-86.1319,Cfa,2011-2013,2012,Female,Adult,,,,8,9,,30.417,Aug,Sep,,6.403888889,1.283859709,18,6.857647059,1.103004586,17,,,,pre,6.403888889,0.45375817,0.163137817,7.085665879,0.068458944,0.003754722,,,
14,2015,Lacki,raw data,Yangochiroptera,Vespertilionidae,Myotis septentrionalis,Myotis septentrionalis,cave,,USA,northern,37.2072,-86.1319,Cfa,2011-2013,2012,Male,Adult,,,,8,9,,30.417,Aug,Sep,,5.457575758,0.676613952,33,6.224210526,0.718658594,19,,,,pre,5.457575758,0.766634769,0.041055563,14.04716678,0.131441921,0.001167421,,,
14,2015,Lacki,raw data,Yangochiroptera,Vespertilionidae,Myotis sodalis,Myotis sodalis,cave,,USA,northern,37.2072,-86.1319,Cfa,2011-2013,2012,Female,Adult,,,,8,9,,30.417,Aug,Sep,,6.93,,1,7.996666667,2.07321811,3,,,,pre,6.93,1.066666667,1.432744444,15.39201539,0.143164975,,,,
14,2015,Lacki,raw data,Yangochiroptera,Vespertilionidae,Myotis sodalis,Myotis sodalis,cave,,USA,northern,37.2072,-86.1319,Cfa,2011-2013,2012,Male,Adult,,,,8,9,,30.417,Aug,Sep,,6.365714286,0.395468378,7,6.748055556,0.541409903,36,,,,pre,6.365714286,0.38234127,0.030484529,6.006258727,0.058327951,0.000730165,,,
